@ HyperIMU - ianovir
@ Date:Tue Nov 05 10:56:57 GMT-03:00 2024, Sampling Rate:100ms

bmi3x0_accelerometer.x,bmi3x0_accelerometer.y,bmi3x0_accelerometer.z,orientation.x,orientation.y,orientation.z
-0.12771691,0.010468599,9.816256,5.5131836,0.72858936,-1.0758249
-0.12532409,0.017647067,9.823434,5.4975586,0.7210424,-1.084375
-0.1372882,0.015254244,9.789935,5.500061,0.72932243,-1.0807842
-0.13250256,0.010468599,9.837791,5.4906616,0.7292398,-1.0872036
-0.11335997,0.055932228,9.813863,5.4971313,0.73584867,-1.0867784
-0.1372882,0.027218357,9.809077,5.5018616,0.7304917,-1.0840863
-0.14207384,0.0056829536,9.804292,7.2612915,0.72083783,-1.0824312
-0.115752794,0.032004002,9.768399,7.8545227,0.722678,-1.0845337
-0.12053844,0.0080757765,9.830613,7.9286804,0.72579867,-1.0824581
-0.13489537,0.012861421,9.801899,7.967926,0.7238657,-1.0812767
-0.13250256,0.027218357,9.816256,8.088715,0.72672915,-1.0817931
-0.09900304,0.0080757765,9.804292,7.8688354,0.7323696,-1.0848562
-0.13489537,0.0032901312,9.823434,7.9555664,0.7316398,-1.0844053
-0.1061815,0.022432713,9.825827,7.94516,0.7308274,-1.091849
-0.115752794,0.022432713,9.830613,8.03067,0.73167074,-1.0898045
-0.10857433,0.017647067,9.792328,8.062805,0.7321549,-1.0910554
-0.16360925,-0.0014955142,9.816256,8.0979,0.7365631,-1.0897377
-0.16360925,0.0056829536,9.842577,8.098022,0.74261624,-1.0881108
-0.1468595,0.012861421,9.8066845,8.0980835,0.7439438,-1.0850686
-0.17557336,0.02003989,9.794721,8.098022,0.73871887,-1.0842726
-0.115752794,0.024825536,9.821041,8.097992,0.7385737,-1.084827
-0.15643078,0.03678965,9.830613,8.097961,0.73821425,-1.086211
-0.13250256,0.022432713,9.809077,8.098022,0.73620105,-1.0805414
-0.17318054,0.0056829536,9.797113,8.0980835,0.7379,-1.079576
-0.12532409,0.041575294,9.809077,8.098022,0.73847735,-1.0826085
-0.13968103,0.012861421,9.813863,8.097961,0.73295945,-1.0811623
-0.11096715,0.02003989,9.81147,8.0979,0.7303095,-1.0826874
-0.13489537,0.02961118,9.8066845,8.098053,0.73733413,-1.0800102
-0.13968103,0.03678965,9.804292,8.097992,0.7356061,-1.082172
-0.1061815,0.03918247,9.813863,8.097839,0.73075414,-1.0862542
-0.12532409,0.024825536,9.813863,8.09787,0.7296772,-1.0845501
-0.115752794,0.024825536,9.81147,8.0979,0.73318183,-1.0854955
-0.12532409,-0.0014955142,9.787542,8.0979,0.73256594,-1.0843718
-0.13010973,0.03678965,9.8473625,8.098022,0.73491937,-1.0797817
-0.122931264,0.034396827,9.792328,8.097961,0.73193634,-1.0804365
-0.14446667,0.043968115,9.816256,8.098022,0.73258,-1.077367
-0.122931264,0.04636094,9.782756,8.097961,0.7338712,-1.0817995
-0.12053844,0.0032901312,9.816256,8.097992,0.7359099,-1.0827109
-0.1372882,0.0080757765,9.809077,8.098114,0.74130654,-1.0808982
-0.1468595,-0.0062811594,9.809077,8.098175,0.74524325,-1.0810053
-0.11335997,0.012861421,9.799506,8.098267,0.7498826,-1.0808252
-0.11335997,0.0080757765,9.799506,8.098206,0.74740905,-1.081586
-0.10378868,0.041575294,9.825827,8.098297,0.7505116,-1.0783867
-0.13968103,-0.0062811594,9.797113,8.098328,0.75556624,-1.0824397
-0.11335997,0.017647067,9.8066845,8.098358,0.7564768,-1.0808412
-0.10378868,0.04636094,9.8066845,8.098267,0.74854046,-1.0787002
-0.11335997,0.022432713,9.823434,8.098175,0.7459774,-1.0807873
-0.11335997,0.027218357,9.830613,8.098297,0.74785024,-1.0763104
-0.10139586,0.012861421,9.804292,8.098267,0.7485429,-1.0781423
-0.12053844,0.022432713,9.77797,8.098267,0.74632555,-1.0766056
-0.12053844,0.022432713,9.809077,8.098236,0.7465821,-1.0782505
-0.118145615,0.0056829536,9.809077,8.098206,0.74362016,-1.0779483
-0.11096715,0.041575294,9.825827,8.098297,0.74795806,-1.0767823
-0.12771691,0.02003989,9.816256,8.098236,0.74606174,-1.077507
-0.13968103,0.017647067,9.82822,8.098236,0.749216,-1.0810894
-0.12532409,0.024825536,9.816256,8.098175,0.74774224,-1.0829501
-0.13489537,0.02961118,9.801899,8.098145,0.7462497,-1.0844287
-0.11096715,0.010468599,9.77797,8.098145,0.7437407,-1.0817951
-0.13010973,0.043968115,9.830613,8.098053,0.7402383,-1.0826356
-0.1061815,0.017647067,9.809077,8.098236,0.74152786,-1.0741591
-0.14925231,0.015254244,9.81147,8.098236,0.74425906,-1.0750979
-0.14446667,0.034396827,9.842577,8.098175,0.7470508,-1.0822809
-0.1468595,0.015254244,9.835399,8.098145,0.7434647,-1.0807557
-0.14446667,0.043968115,9.789935,8.098022,0.73683935,-1.0818754
-0.11335997,0.02003989,9.81147,8.0980835,0.73693615,-1.0787457
-0.12771691,0.03678965,9.823434,8.098022,0.7368308,-1.0824491
-0.13968103,0.03918247,9.818648,8.097961,0.73811436,-1.08674
-0.13250256,0.022432713,9.821041,8.098022,0.73959357,-1.0844115
-0.115752794,0.02003989,9.821041,8.098053,0.7400235,-1.0831194
-0.15403795,0.0032901312,9.842577,8.0980835,0.7434801,-1.0849829
-0.13250256,0.012861421,9.823434,8.097992,0.74066216,-1.088153
-0.11096715,-0.020638095,9.799506,8.09787,0.735072,-1.0891075
-0.12532409,0.010468599,9.81147,8.0979,0.73613244,-1.0878873
-0.12532409,0.0080757765,9.842577,8.097992,0.73914087,-1.0860082
-0.14207384,0.04636094,9.813863,8.098114,0.74565524,-1.0845584
-0.10378868,0.017647067,9.835399,8.0980835,0.7460044,-1.0863976
-0.13010973,0.017647067,9.804292,8.098114,0.7469206,-1.0856012
-0.12053844,0.02003989,9.837791,8.098145,0.74774605,-1.0852138
-0.08943175,0.051146585,9.804292,8.098145,0.74832094,-1.0867158
-0.13489537,0.02003989,9.801899,8.098022,0.74345374,-1.0878043
-0.10857433,0.02003989,9.821041,8.098022,0.7404488,-1.08475
-0.122931264,8.9730846E-4,9.833006,8.098053,0.73779774,-1.0802356
-0.12771691,0.017647067,9.782756,8.098053,0.735033,-1.0775152
-0.11335997,-0.018245272,9.804292,8.098114,0.7361989,-1.0761156
-0.122931264,0.03678965,9.627223,8.097626,0.7189494,-1.0874971
-0.13968103,0.02961118,9.691829,8.0971985,0.7047132,-1.0982761
-0.15164514,0.0080757765,9.823434,8.096619,0.6820278,-1.1103526
-0.118145615,0.03678965,9.883255,8.096161,0.6550022,-1.1113756
-0.17318054,0.0080757765,9.81147,8.095428,0.62106407,-1.1199282
-0.14207384,0.07507481,9.773185,8.093658,0.57385767,-1.1701593
-0.15164514,0.043968115,9.809077,8.093018,0.55463076,-1.1848313
-0.14925231,0.043968115,9.78515,8.093109,0.5561713,-1.1822568
-0.13968103,0.067896344,9.82822,8.09259,0.54302216,-1.1962013
-0.14207384,0.055932228,9.801899,8.092377,0.5352407,-1.2006618
-0.063110694,0.15882361,9.25125,8.093292,0.5559971,-1.1721754
0.5665008,-0.79142606,10.7380905,7.429413,0.1650694,-1.3508284
